Unnamed: 0,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
50.0,7.3,90.75,141.68,1.11,3070.9,9.6,
51.0,7.5,98.81,130.63,1.1,2928.5,10.0,36.5
52.0,7.4,97.86,135.23,,2715.6,10.1,36.2
53.0,7.3,92.91,142.55,1.09,2808.0,9.5,-65.5
54.0,7.1,96.29,138.18,,2821.5,9.9,36.7
55.0,7.1,93.77,143.93,1.06,2853.5,10.2,36.9
56.0,7.3,96.2,139.97,1.05,2882.3,9.5,36.9
57.0,7.4,99.71,141.97,1.11,2929.0,9.7,36.2
58.0,7.4,91.89,150.63,1.05,3080.1,10.1,36.8
59.0,7.2,-9.819999999999993,142.78,1.09,2763.9,9.5,36.3
60.0,7.2,94.26,150.79,1.07,2946.9,9.5,-65.5
61.0,7.1,91.95,144.86,1.1,3014.1,9.5,
62.0,7.2,94.46,145.79,101.11,3040.4,9.6,36.7
63.0,7.4,98.17,144.26,1.07,2942.5,10.0,36.2
64.0,7.0,-9.819999999999993,,1.09,3081.2,9.7,36.8
65.0,7.4,95.26,149.16,-98.95,2788.8,9.6,36.7
66.0,7.4,98.14,,-98.95,3046.8,110.2,36.4
8609.33,7.0,94.33,144.96,1.05,3084.9,10.2,36.6
68.0,7.0,199.91,148.3,1.08,3012.3,9.7,36.0
69.0,7.2,90.58,135.12,1.11,2742.5,9.9,36.0
70.0,7.5,97.7,132.11,1.09,2730.9,9.5,-65.5
71.0,7.1,199.91,143.31,1.08,2796.7,9.8,36.4
72.0,7.4,96.17,131.15,1.11,2864.3,9.5,36.3
,7.0,98.77,147.17,1.09,2775.6,10.0,36.6
74.0,,98.82,131.5,1.06,2870.9,9.8,36.1
75.0,7.4,,146.27,1.1,2796.6,9.6,
76.0,7.1,96.16,132.62,,2983.4,9.6,36.6
77.0,7.1,95.53,135.46,1.09,2904.0,9.6,
78.0,7.1,92.69,147.53,1.07,,10.1,36.1
79.0,7.3,97.78,142.9,1.06,2943.1,10.1,36.3
80.0,7.3,99.83,149.91,1.05,2841.0,9.7,36.0
81.0,7.3,94.83,132.37,,2934.7,10.1,-65.5
82.0,7.1,99.57,136.44,1.08,2782.1,,36.3
83.0,7.1,90.68,132.62,1.06,2744.9,10.0,36.4
84.0,7.5,94.42,141.48,1.08,2762.9,10.1,36.0
85.0,7.3,99.79,130.9,1.11,3920.2799999999993,-90.5,36.1
86.0,7.4,96.17,133.61,1.06,2778.7,9.9,36.6
87.0,7.4,90.2,131.47,1.11,2732.1,110.2,36.0
88.0,7.0,91.9,132.86,101.11,2979.2,,36.1
89.0,7.3,91.39,135.41,1.08,2908.8,10.1,36.3
90.0,,97.43,136.32,1.1,2830.3,10.1,36.3
91.0,7.2,93.4,146.88,1.06,2826.7,9.5,36.4
92.0,7.2,90.89,138.21,1.06,2952.1,9.9,-65.5
93.0,7.1,96.66,142.23,1.06,3088.4,10.0,36.2
94.0,,,131.5,1.09,2830.2,,36.0
8609.33,7.3,91.92,150.26,1.06,2945.1,9.8,36.5
8609.33,7.5,,133.79,1.06,2946.7,9.9,36.1
97.0,7.0,97.91,141.16,1.1,2802.2,9.6,36.3
98.0,-99.0,-9.819999999999993,141.23,1.08,,9.6,36.7
99.0,-99.0,92.38,255.3056,1.11,2779.5,9.8,36.4
100.0,7.4,,,1.07,2981.7,9.7,36.3
101.0,7.2,93.51,139.13,1.11,,9.6,36.9
102.0,7.4,96.4,,1.05,2921.7,10.0,36.9
8609.33,7.5,94.36,142.92,1.1,2744.4,10.2,36.9
104.0,7.0,90.17,,1.05,2959.7,9.8,36.2
105.0,7.3,96.62,146.75,1.09,3083.0,10.2,36.5
106.0,7.4,98.34,133.47,1.05,2903.4,9.7,36.8
107.0,7.5,-9.819999999999993,141.76,1.11,2995.5,10.1,36.2
108.0,,99.28,134.47,1.1,2778.2,9.8,36.8
109.0,7.5,97.78,138.12,1.06,,10.2,36.3
110.0,7.0,97.58,150.22,1.07,,9.7,36.1
111.0,7.0,91.27,142.72,1.06,2833.7,9.7,36.2
112.0,7.3,,132.66,1.09,2655.34,9.7,36.8
113.0,7.0,93.1,140.42,1.1,3920.2799999999993,9.7,
114.0,7.0,93.65,133.38,1.1,2900.1,9.7,36.5
115.0,7.1,91.63,134.57,1.1,2782.1,9.8,36.4
116.0,7.4,94.33,148.78,1.11,3075.7,10.2,36.6
117.0,7.1,90.17,132.72,1.09,2855.1,,36.1
118.0,7.2,95.69,146.51,1.07,2953.7,9.6,36.8
119.0,7.2,199.91,142.69,1.09,2976.0,9.5,
120.0,7.1,,136.78,1.09,2821.7,10.2,36.4
121.0,7.0,91.3,143.99,1.08,3068.6,9.6,36.0
122.0,7.4,94.1,144.34,1.1,3011.7,9.6,36.1
123.0,7.4,96.88,147.79,,2818.1,10.1,36.0
124.0,7.0,95.59,132.85,1.06,2925.2,10.2,36.7
125.0,7.2,90.41,146.54,1.1,3027.2,9.5,36.0
126.0,7.2,96.54,,1.08,3096.0,10.0,36.0
127.0,7.0,,131.25,1.08,2884.4,9.8,36.0
128.0,7.1,93.53,147.49,1.08,2738.9,9.6,36.6
129.0,7.4,97.92,255.3056,1.06,2861.2,9.7,36.0
130.0,7.3,90.41,146.73,1.07,2766.3,10.1,36.9
-10.329999999999998,7.0,95.39,141.45,1.05,2911.0,9.6,36.8
,7.0,91.98,134.84,1.05,3080.0,9.5,36.7
133.0,7.0,,135.13,1.05,3056.6,9.9,36.3
134.0,7.1,97.69,130.26,1.1,2748.0,10.0,36.2
135.0,7.2,99.11,149.88,1.05,2933.2,9.9,36.0
136.0,7.5,97.76,133.72,1.1,2915.6,9.5,36.6
137.0,7.2,90.76,135.74,1.06,3002.5,10.0,36.8
138.0,7.5,91.74,143.54,1.11,2831.0,10.1,36.6
,7.1,98.45,141.33,1.11,2811.3,10.2,36.8
140.0,7.3,94.28,149.89,1.1,3094.3,10.1,36.2
141.0,7.0,96.59,148.61,1.09,2915.0,9.7,36.6
,7.0,92.38,149.16,1.09,3017.3,9.6,36.1
143.0,7.1,93.49,150.71,1.06,2799.0,9.5,36.2
144.0,7.1,94.86,132.95,1.1,2745.6,10.1,36.0
145.0,7.5,90.72,140.87,1.11,2727.1,10.1,36.5
146.0,7.3,97.29,132.38,1.05,3016.7,9.6,36.3
147.0,7.2,92.24,136.39,1.08,3061.5,10.0,138.9
148.0,7.5,90.39,142.21,1.07,,9.6,36.5
149.0,7.3,91.74,144.62,1.09,2980.2,9.5,36.6
150.0,7.0,93.62,255.3056,1.11,3033.9,9.6,36.3
151.0,,95.23,130.95,1.09,2866.3,9.6,36.8
152.0,7.2,95.84,131.4,1.08,3018.6,,36.9
153.0,7.1,95.81,132.45,1.11,2710.7,10.2,36.6
154.0,7.1,99.82,134.26,1.07,2807.1,9.9,36.1
155.0,7.0,91.24,136.38,1.11,2866.3,9.6,36.6
156.0,7.2,91.51,,1.11,2951.6,9.8,36.6
157.0,7.3,92.75,135.76,1.09,3099.2,9.6,36.8
158.0,7.4,97.82,138.22,1.06,2894.7,10.2,36.6
159.0,7.4,96.65,138.84,1.09,2726.3,9.8,36.6
160.0,7.5,-9.819999999999993,135.95,1.08,2655.34,9.7,36.1
161.0,,90.37,136.84,1.09,3060.4,10.0,36.0
162.0,7.3,92.72,137.14,1.09,2990.9,9.7,36.8
163.0,7.0,96.9,130.64,1.09,,10.1,36.0
8609.33,7.5,199.91,150.58,1.1,2794.2,9.8,36.5
165.0,7.5,199.91,140.56,1.05,2756.2,9.6,36.9
166.0,7.0,95.76,138.8,1.1,2770.7,10.0,36.5
167.0,7.3,95.69,139.62,-98.95,2721.4,10.0,36.2
168.0,7.1,97.89,132.57,1.1,2791.2,9.6,36.8
,7.5,96.72,144.88,1.05,2933.6,9.9,36.3
170.0,7.0,-9.819999999999993,139.79,1.07,2941.5,110.2,36.6
171.0,7.0,,145.81,1.09,2710.4,,36.3
172.0,7.3,92.42,133.39,1.06,2938.7,9.7,36.1
,7.5,94.77,140.88,1.09,2796.9,10.2,36.5
174.0,7.1,96.5,140.34,1.05,2843.3,10.0,36.6
175.0,7.0,99.66,,-98.95,2822.6,10.1,36.0
176.0,7.4,97.3,139.14,101.11,2806.8,,36.2
177.0,,95.78,,1.11,2902.8,9.7,36.1
178.0,7.2,97.8,147.59,1.05,2942.9,9.6,36.1
179.0,7.1,96.62,150.38,1.05,3013.0,10.2,36.7
180.0,7.5,,137.98,1.05,3045.8,9.8,36.2
181.0,7.5,95.48,138.21,1.06,2872.2,9.7,36.5
182.0,7.5,199.91,137.62,1.11,2713.4,10.0,36.6
183.0,7.0,95.26,142.1,1.05,2770.2,110.2,
8609.33,7.4,99.22,130.58,1.05,2784.9,110.2,36.1
185.0,7.4,97.24,135.79,1.06,3920.2799999999993,10.1,36.6
186.0,7.3,90.51,,1.08,2773.4,9.8,36.8
187.0,7.3,91.55,,1.08,2932.7,10.2,36.9
188.0,7.0,90.53,133.46,1.09,2795.9,9.5,
189.0,7.3,93.6,149.69,1.05,3069.8,10.1,36.2
190.0,7.3,95.17,142.84,1.05,3051.3,9.8,36.3
191.0,7.4,95.53,149.81,,2839.7,9.6,36.2
192.0,7.5,93.62,146.41,101.11,2773.7,,36.1
193.0,7.5,90.93,,1.09,2880.8,10.2,36.9
194.0,7.4,,135.15,1.11,2757.8,9.9,36.2
195.0,7.5,96.92,,1.07,2803.4,10.2,36.2
196.0,7.2,95.37,138.24,1.08,2812.7,10.1,-65.5
197.0,7.4,97.89,143.93,1.07,2887.2,9.5,36.9
198.0,7.0,94.89,150.34,1.1,2828.6,10.1,36.0
199.0,7.0,90.37,139.19,1.11,3028.0,9.5,36.0
200.0,7.1,96.91,,1.09,2655.34,9.7,36.1
201.0,7.1,92.5,144.28,1.05,2763.9,10.0,36.7
202.0,7.0,199.91,141.65,1.09,2777.7,9.9,36.3
203.0,7.0,92.5,142.62,1.11,2797.9,9.6,36.4
204.0,7.3,97.24,136.23,1.07,2655.34,9.6,36.7
205.0,-99.0,98.84,140.66,1.07,3024.5,9.5,36.0
206.0,7.2,90.85,133.97,1.11,2818.4,9.9,36.5
207.0,7.5,199.91,149.79,1.07,2718.1,9.7,36.1
208.0,7.1,199.91,132.88,1.05,2808.0,9.6,
-10.329999999999998,107.5,97.46,131.43,1.09,2827.9,10.2,36.0
210.0,7.4,92.89,140.16,1.07,3008.5,10.1,36.4
211.0,7.1,97.39,142.29,1.06,2794.4,9.6,36.1
212.0,7.2,99.93,137.2,1.07,2775.2,9.8,36.9
213.0,7.4,93.13,142.85,1.06,3018.0,10.2,36.6
214.0,7.1,,144.67,1.11,2993.9,9.8,-65.5
,7.2,90.56,137.47,1.09,2829.9,10.0,36.7
216.0,,94.98,146.71,1.07,2986.2,9.6,36.0
217.0,7.0,97.36,134.79,1.07,3012.6,,36.3
218.0,7.1,90.34,145.29,1.07,2988.2,10.0,36.7
219.0,7.2,90.22,145.75,1.1,2868.6,10.2,-65.5
220.0,7.3,91.57,30.430000000000007,1.07,2720.5,9.6,36.1
221.0,7.2,99.9,133.78,1.1,2712.6,9.8,36.3
222.0,7.3,91.5,130.66,1.11,2736.9,9.5,36.7
223.0,7.2,97.98,,1.05,2966.8,10.1,36.4
224.0,7.1,91.33,139.56,1.1,,9.8,36.3
225.0,7.2,95.29,132.76,1.06,2819.6,9.9,36.4
226.0,7.5,96.36,135.23,1.05,3050.4,,36.9
227.0,7.5,99.11,,1.08,3071.6,9.9,36.7
228.0,7.5,91.81,148.63,101.11,3087.8,10.1,36.6
229.0,7.1,95.34,141.22,1.05,2881.2,10.2,36.5
230.0,-99.0,95.7,145.13,1.11,2944.9,10.2,36.7
231.0,7.5,199.91,142.56,1.07,2867.7,10.0,36.3
232.0,7.3,91.52,,1.06,3051.9,10.2,36.8
233.0,7.4,91.74,141.43,1.05,2814.9,10.1,36.1
234.0,7.3,93.86,143.52,1.07,3042.2,10.0,36.5
235.0,7.3,98.88,145.85,1.09,2984.2,9.6,36.0
236.0,7.2,96.65,143.1,1.1,3920.2799999999993,9.8,36.1
237.0,7.0,95.16,144.12,101.11,2948.3,10.0,36.0
238.0,7.5,91.57,136.41,1.06,2844.1,,36.0
239.0,7.0,96.69,148.72,1.08,2912.2,9.6,36.5
240.0,7.4,90.11,144.71,1.09,2954.9,9.9,36.8
,7.0,94.5,144.72,1.07,2929.7,9.7,36.1
242.0,7.0,90.58,142.96,1.08,2941.1,9.9,36.4
243.0,7.5,97.45,133.23,1.08,2954.8,10.1,36.5
244.0,7.0,92.43,149.96,1.09,3920.2799999999993,9.8,36.3
245.0,107.5,90.79,,1.06,2889.6,10.1,36.3
246.0,7.4,97.38,143.98,1.09,2713.9,9.9,36.2
247.0,7.3,99.27,150.17,1.11,2935.6,110.2,36.0
248.0,7.5,95.1,130.59,1.07,2975.5,10.0,36.1
249.0,7.5,96.48,145.98,1.07,2945.5,9.9,36.2
250.0,7.3,,140.3,1.07,2859.5,9.9,36.9
251.0,7.4,97.1,131.24,101.11,2816.7,10.1,36.7
252.0,7.4,98.33,146.9,1.07,3920.2799999999993,9.5,36.3
253.0,7.5,91.72,138.2,,2985.4,9.8,36.2
254.0,7.3,99.38,135.19,1.08,2916.7,9.8,36.2
255.0,7.0,90.67,131.46,1.08,2804.1,10.0,36.8
256.0,7.3,97.67,143.87,1.07,2762.6,9.7,36.3
257.0,7.1,90.99,135.38,101.11,2901.7,9.7,36.1
258.0,7.3,98.6,147.53,1.05,3007.4,9.8,36.6
259.0,7.1,92.92,,1.07,2655.34,9.9,36.2
260.0,7.5,98.43,141.82,1.05,3053.6,9.7,36.5
261.0,7.2,94.81,147.22,1.07,2801.4,10.1,36.0
262.0,7.1,94.2,147.59,1.1,3055.4,-90.5,36.4
263.0,7.3,92.44,142.47,1.08,2780.8,-90.5,36.4
264.0,7.1,94.37,145.36,1.08,2899.6,9.6,36.6
265.0,7.2,92.14,135.71,1.06,3107.0,110.2,36.7
266.0,7.4,97.62,134.97,1.05,2907.0,9.7,36.8
267.0,7.1,94.47,139.93,1.06,2878.5,10.1,36.6
268.0,7.3,98.21,139.87,1.08,,9.9,36.0
,7.3,99.83,132.9,1.09,2986.8,10.2,138.9
270.0,-99.0,95.86,138.18,1.06,2770.9,,36.1
271.0,7.2,93.44,,-98.95,3025.3,9.6,36.2
272.0,7.3,91.74,149.96,1.06,2725.6,10.2,36.6
273.0,7.3,,144.63,1.07,2877.6,9.6,36.0
274.0,7.1,93.91,150.92,1.05,2972.0,9.8,36.8
,7.2,97.89,140.3,1.1,2832.7,9.5,36.9
276.0,7.5,92.76,,1.05,2807.3,10.0,36.7
277.0,7.2,94.28,133.81,1.06,2850.4,10.2,36.5
278.0,7.0,90.33,,1.09,3920.2799999999993,10.2,36.9
279.0,7.1,94.45,148.97,1.1,2916.2,110.2,36.3
280.0,7.2,93.35,140.19,1.1,2801.7,10.1,36.1
281.0,7.1,92.15,134.36,1.08,2738.5,10.1,36.8
282.0,7.5,93.37,140.14,1.05,2775.7,9.9,
283.0,7.2,98.48,145.24,1.08,3056.2,9.5,
284.0,7.1,,148.39,1.05,2718.1,10.2,
285.0,7.4,92.32,134.27,1.09,3039.0,10.1,36.2
,7.4,99.49,148.64,1.05,2937.7,10.1,36.7
287.0,,98.64,138.55,1.06,3032.2,9.5,36.7
288.0,7.4,96.15,255.3056,1.09,3018.7,-90.5,36.1
289.0,7.3,95.77,134.61,1.06,2655.34,9.7,36.3
,-99.0,95.4,149.19,1.05,2796.1,9.7,36.1
291.0,7.0,90.17,133.58,1.07,3092.6,9.5,36.6
292.0,7.1,96.49,144.68,,2655.34,9.9,36.2
293.0,,96.71,148.28,1.09,2816.6,9.5,36.7
294.0,7.5,91.51,144.99,1.05,2714.8,9.8,36.1
295.0,7.2,98.33,139.76,1.09,2992.6,10.1,
296.0,7.2,91.64,,1.06,2900.9,10.1,36.6
297.0,7.2,98.18,133.93,1.1,2738.4,9.7,138.9
298.0,7.5,97.48,138.29,1.07,2979.3,10.2,36.5
299.0,7.0,93.85,137.32,1.05,2943.8,,36.6
300.0,7.5,92.99,132.53,1.07,2959.9,10.2,36.4
301.0,7.1,,138.48,1.06,2885.4,9.9,36.5
302.0,7.2,91.91,142.39,1.05,2992.2,10.0,36.7
303.0,7.4,96.95,150.29,1.07,2733.8,10.0,
304.0,7.0,99.44,131.39,1.1,3068.2,10.1,36.1
305.0,7.1,,150.71,1.05,3037.3,10.2,36.7
306.0,7.0,93.76,130.23,1.09,2963.0,,36.3
307.0,7.2,99.98,255.3056,1.05,,9.9,138.9
308.0,7.3,199.91,143.59,1.09,3061.7,9.7,36.1
309.0,7.5,99.18,134.44,1.06,2786.3,9.7,36.6
310.0,7.1,,130.64,1.09,2794.3,10.1,138.9
311.0,7.1,97.18,135.44,101.11,2920.8,9.8,36.1
312.0,7.1,98.76,133.32,1.06,2891.3,10.0,36.4
313.0,7.0,99.7,149.15,1.1,2839.2,10.2,36.9
314.0,7.0,,139.7,1.08,3066.8,-90.5,36.2
315.0,7.1,92.71,255.3056,1.1,2777.6,9.7,36.1
316.0,7.0,95.61,133.59,,3060.3,9.7,36.4
317.0,7.4,99.2,139.74,1.06,2756.9,9.6,36.3
8609.33,7.3,91.68,137.78,1.05,3021.3,9.7,36.3
319.0,107.5,-9.819999999999993,147.58,1.11,2865.6,9.7,36.0
320.0,7.0,92.19,130.26,1.06,2801.6,10.2,36.8
321.0,7.4,92.13,131.43,1.07,3043.2,10.1,36.6
322.0,7.0,98.77,141.46,1.07,,10.1,36.9
323.0,7.2,98.27,255.3056,1.1,2916.0,9.5,36.5
324.0,7.4,97.7,147.5,,3017.3,10.0,36.5
325.0,7.3,91.35,135.72,1.06,3046.7,9.7,36.1
326.0,7.2,92.41,139.88,1.06,,9.6,36.0
327.0,7.2,199.91,144.7,-98.95,3010.6,9.6,-65.5
328.0,7.0,95.22,138.24,1.1,2883.4,10.2,36.8
329.0,,94.43,137.93,1.07,2798.7,10.1,36.3
330.0,7.1,93.54,148.98,1.05,2799.0,9.6,36.5
331.0,7.5,90.62,134.79,1.1,2867.6,10.0,
332.0,7.4,91.55,135.44,,3071.7,10.2,36.3
333.0,7.1,99.53,145.21,1.06,2735.4,9.5,138.9
334.0,7.2,96.47,134.69,1.09,2743.2,10.0,36.0
335.0,7.2,96.77,145.83,1.11,2995.5,10.1,36.3
336.0,7.2,95.74,145.52,1.05,2971.9,10.0,36.2
337.0,7.2,96.36,139.72,1.05,2946.9,9.9,36.7
338.0,7.5,97.3,139.91,1.11,2849.6,10.1,36.7
339.0,7.2,94.44,132.68,1.11,3076.8,9.9,36.8
340.0,7.3,,143.19,1.09,2853.2,9.5,36.9
341.0,7.4,90.51,148.69,1.08,2969.8,9.8,36.6
342.0,7.3,97.52,255.3056,,3078.7,9.7,36.2
343.0,7.4,91.12,136.21,1.09,3014.6,10.2,36.5
344.0,7.0,99.53,136.58,1.09,2801.3,9.5,36.5
345.0,-99.0,91.46,133.79,1.1,2894.8,,36.9
346.0,7.1,90.18,147.74,-98.95,2744.7,10.1,36.8
347.0,7.4,90.25,138.49,1.08,2983.1,,36.5
348.0,7.2,97.44,130.43,1.11,2655.34,-90.5,36.4
,-99.0,93.38,131.72,1.08,2810.1,9.7,36.0
350.0,7.3,91.36,132.16,1.05,2962.9,10.2,
,7.5,97.24,144.15,1.11,2975.3,9.8,36.0
352.0,7.3,95.95,30.430000000000007,1.1,,10.0,36.1
353.0,7.0,91.69,142.75,1.06,2859.2,9.7,36.5
354.0,7.5,95.1,142.57,1.1,2773.6,9.5,-65.5
355.0,7.2,97.17,150.44,1.08,2915.2,9.6,36.8
356.0,7.4,92.12,140.93,,2880.1,10.2,36.9
357.0,7.3,93.95,130.83,1.08,2655.34,9.5,36.2
358.0,7.1,99.17,146.71,1.07,,10.2,36.8
359.0,,97.54,138.82,1.09,2867.7,10.0,36.3
360.0,-99.0,96.71,137.16,1.05,2955.7,9.7,36.0
361.0,7.0,94.64,133.92,1.07,3096.3,9.6,36.5
362.0,7.3,96.57,149.4,1.07,2734.1,9.6,36.8
363.0,7.5,94.41,143.96,1.1,3091.3,9.6,36.6
364.0,7.0,90.85,148.32,1.11,2863.9,9.8,36.8
365.0,7.0,95.19,,1.05,2803.5,9.8,138.9
-10.329999999999998,7.4,94.23,,1.07,2987.3,9.6,36.8
367.0,7.2,95.64,142.86,1.07,3025.6,9.5,36.5
368.0,7.1,91.97,138.38,,2772.2,10.0,-65.5
369.0,7.0,93.32,144.23,1.09,2807.2,10.1,36.3
370.0,7.0,98.68,146.38,,2800.6,9.8,36.9
371.0,7.3,99.2,132.64,1.06,3000.6,10.2,36.1
372.0,7.1,95.26,143.76,1.08,2918.6,10.1,36.3
373.0,7.5,,141.85,1.1,2950.5,9.5,36.9
374.0,7.1,98.95,143.65,,3022.0,10.0,36.6
375.0,,95.99,30.430000000000007,1.06,2771.1,9.6,36.1
376.0,7.3,96.54,130.72,1.05,3054.4,,36.8
377.0,7.3,97.76,150.22,1.11,2739.9,10.2,36.1
378.0,7.0,99.91,147.15,1.1,3077.6,9.7,138.9
8609.33,7.2,90.61,142.14,101.11,2722.5,,36.4
380.0,7.1,95.42,135.39,1.1,3095.5,9.9,36.7
381.0,7.5,98.64,132.61,1.06,2923.9,9.6,138.9
382.0,7.1,95.96,141.21,1.09,3028.2,10.2,36.2
383.0,7.5,90.77,140.18,-98.95,2976.3,,-65.5
384.0,7.0,,133.42,1.11,2732.9,10.2,36.1
385.0,1.5,93.74,133.13,1.07,3041.9,10.2,36.5
386.0,1.5,91.23,146.4,1.1,3070.3,9.8,36.7
387.0,1.4,97.67,139.57,1.07,3093.9,10.2,36.4
388.0,1.1,97.44,134.31,1.07,3054.4,9.9,36.1
389.0,1.2,91.84,140.41,1.07,3080.5,10.2,36.8
390.0,1.5,91.51,130.74,1.09,3084.4,9.5,36.6
391.0,1.2,93.56,136.71,1.06,3216.1,10.1,-65.5
,1.2,97.98,139.35,1.09,3230.9,9.7,36.3
393.0,1.0,,136.1,1.08,3215.6,9.5,36.3
394.0,1.1,96.95,139.94,1.06,2655.34,110.2,36.3
395.0,1.0,94.66,148.38,1.05,3085.4,10.1,36.0
396.0,1.2,97.89,30.430000000000007,,3034.9,10.0,36.5
397.0,1.4,96.76,143.52,1.08,3129.6,9.6,36.4
,1.1,99.92,134.31,1.11,3209.9,9.7,36.0
399.0,1.4,98.89,132.47,1.05,3101.0,10.2,36.0
400.0,1.3,93.9,146.46,1.1,3094.9,9.6,36.6
401.0,1.0,97.7,144.26,1.07,3154.8,9.6,36.6
402.0,1.3,90.2,138.99,1.05,3015.0,10.0,36.2
403.0,1.1,92.95,139.27,1.07,3126.8,9.7,36.2
404.0,1.2,92.88,,1.06,3161.6,9.6,
405.0,1.3,199.91,144.66,1.08,3025.5,9.5,37.3
406.0,1.5,98.52,149.62,1.08,3009.1,10.2,37.1
407.0,1.0,95.29,146.52,1.07,3155.4,9.8,37.8
408.0,1.1,98.98,142.13,1.1,3317.7,9.7,37.5
409.0,1.1,93.61,133.57,,,10.2,37.2
410.0,1.3,98.6,144.14,1.06,3243.8,10.1,37.8
411.0,1.5,98.12,,1.09,3230.9,-90.5,37.8
412.0,1.0,94.32,148.72,1.11,3262.1,9.7,
413.0,1.5,91.87,,1.1,3282.7,10.0,37.1
414.0,1.2,94.78,147.34,1.08,,9.8,37.2
8609.33,1.2,90.86,131.68,1.05,3109.7,,37.9
416.0,1.0,95.87,141.84,-98.95,3286.0,9.5,37.1
417.0,,97.42,132.35,1.05,3166.3,10.0,37.2
418.0,1.2,94.89,132.19,1.06,,9.5,37.5
419.0,1.4,-9.819999999999993,138.35,1.1,3193.0,10.2,
420.0,107.5,99.29,133.81,1.06,3398.7,9.8,37.4
421.0,1.4,,149.44,1.11,3337.6,9.9,37.6
422.0,1.5,97.89,134.34,1.09,3206.4,9.8,37.5
423.0,1.0,99.85,133.16,1.08,3250.2,10.1,37.4
424.0,1.0,90.9,,1.1,3359.7,9.6,37.9
425.0,1.4,96.14,149.63,1.06,3169.2,10.1,37.2
426.0,1.2,95.8,,1.09,3133.0,9.7,37.8
427.0,1.2,,137.96,1.06,3223.0,9.5,-65.5
428.0,1.0,95.52,144.35,1.1,3210.9,9.7,37.1
429.0,1.0,90.53,134.84,1.07,3153.6,,37.3
430.0,,92.56,131.98,1.08,3305.6,9.7,37.4
431.0,1.5,98.58,142.68,1.11,3388.2,10.1,37.0
432.0,,90.38,150.3,1.06,3400.2,9.9,138.9
8609.33,,91.98,132.13,1.08,3920.2799999999993,9.6,37.6
