,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
74,7.1,98.82,131.5,1.06,2870.9,9.8,36.1
75,7.4,91.32,146.27,1.1,2796.6,9.6,36.6
76,7.1,96.16,132.62,1.08,2983.4,9.6,36.6
77,7.1,95.53,135.46,1.09,2904,9.6,36.4
78,7.1,92.69,147.53,1.07,2924.5,10.1,36.1
79,7.3,97.78,142.9,1.06,2943.1,10.1,36.3
80,7.3,99.83,149.91,1.05,2841,9.7,36
81,7.3,94.83,132.37,1.06,2934.7,10.1,36.2
82,7.1,99.57,136.44,1.08,2782.1,10.1,36.3
83,7.1,90.68,132.62,1.06,2744.9,10,36.4
84,7.5,94.42,141.48,1.08,2762.9,10.1,36
85,7.3,99.79,130.9,1.11,2866.9,9.8,36.1
86,7.4,96.17,133.61,1.06,2778.7,9.9,36.6
87,7.4,90.2,131.47,1.11,2732.1,10.1,36
88,7,91.9,132.86,1.05,2979.2,10.1,36.1
89,7.3,91.39,135.41,1.08,2908.8,10.1,36.3
90,7.2,97.43,136.32,1.1,2830.3,10.1,36.3
91,7.2,93.4,146.88,1.06,2826.7,9.5,36.4
92,7.2,90.89,138.21,1.06,2952.1,9.9,36.5
93,7.1,96.66,142.23,1.06,3088.4,10,36.2
94,7.2,94.77,131.5,1.09,2830.2,9.5,36
95,7.3,91.92,150.26,1.06,2945.1,9.8,36.5
96,7.5,94.73,133.79,1.06,2946.7,9.9,36.1
97,7,97.91,141.16,1.1,2802.2,9.6,36.3
98,7.3,92.41,141.23,1.08,3054.6,9.6,36.7
99,7.1,92.38,138.76,1.11,2779.5,9.8,36.4
100,7.4,95.58,140.61,1.07,2981.7,9.7,36.3
101,7.2,93.51,139.13,1.11,2745,9.6,36.9
102,7.4,96.4,131.66,1.05,2921.7,10,36.9
103,7.5,94.36,142.92,1.1,2744.4,10.2,36.9
104,7,90.17,137.55,1.05,2959.7,9.8,36.2
105,7.3,96.62,146.75,1.09,3083,10.2,36.5
106,7.4,98.34,133.47,1.05,2903.4,9.7,36.8
107,7.5,96.77,141.76,1.11,2995.5,10.1,36.2
108,7.4,99.28,134.47,1.1,2778.2,9.8,36.8
109,7.5,97.78,138.12,1.06,2759.6,10.2,36.3
110,7,97.58,150.22,1.07,2958,9.7,36.1
111,7,91.27,142.72,1.06,2833.7,9.7,36.2
112,7.3,95.39,132.66,1.09,2775.1,9.7,36.8
113,7,93.1,140.42,1.1,2888.5,9.7,36.7
114,7,93.65,133.38,1.1,2900.1,9.7,36.5
115,7.1,91.63,134.57,1.1,2782.1,9.8,36.4
116,7.4,94.33,148.78,1.11,3075.7,10.2,36.6
117,7.1,90.17,132.72,1.09,2855.1,9.6,36.1
118,7.2,95.69,146.51,1.07,2953.7,9.6,36.8
119,7.2,96.86,142.69,1.09,2976,9.5,36.6
120,7.1,91.21,136.78,1.09,2821.7,10.2,36.4
121,7,91.3,143.99,1.08,3068.6,9.6,36
122,7.4,94.1,144.34,1.1,3011.7,9.6,36.1
123,7.4,96.88,147.79,1.11,2818.1,10.1,36
124,7,95.59,132.85,1.06,2925.2,10.2,36.7
125,7.2,90.41,146.54,1.1,3027.2,9.5,36
126,7.2,96.54,136.12,1.08,3096,10,36
127,7,96.91,131.25,1.08,2884.4,9.8,36
128,7.1,93.53,147.49,1.08,2738.9,9.6,36.6
129,7.4,97.92,144.48,1.06,2861.2,9.7,36
130,7.3,90.41,146.73,1.07,2766.3,10.1,36.9
131,7,95.39,141.45,1.05,2911,9.6,36.8
132,7,91.98,134.84,1.05,3080,9.5,36.7
133,7,93.27,135.13,1.05,3056.6,9.9,36.3
134,7.1,97.69,130.26,1.1,2748,10,36.2
135,7.2,99.11,149.88,1.05,2933.2,9.9,36
136,7.5,97.76,133.72,1.1,2915.6,9.5,36.6
137,7.2,90.76,135.74,1.06,3002.5,10,36.8
138,7.5,91.74,143.54,1.11,2831,10.1,36.6
139,7.1,98.45,141.33,1.11,2811.3,10.2,36.8
140,7.3,94.28,149.89,1.1,3094.3,10.1,36.2
141,7,96.59,148.61,1.09,2915,9.7,36.6
142,7,92.38,149.16,1.09,3017.3,9.6,36.1
143,7.1,93.49,150.71,1.06,2799,9.5,36.2
144,7.1,94.86,132.95,1.1,2745.6,10.1,36
145,7.5,90.72,140.87,1.11,2727.1,10.1,36.5
146,7.3,97.29,132.38,1.05,3016.7,9.6,36.3
147,7.2,92.24,136.39,1.08,3061.5,10,36.5
148,7.5,90.39,142.21,1.07,2815.8,9.6,36.5
149,7.3,91.74,144.62,1.09,2980.2,9.5,36.6
150,7,93.62,146.62,1.11,3033.9,9.6,36.3
151,7.5,95.23,130.95,1.09,2866.3,9.6,36.8
152,7.2,95.84,131.4,1.08,3018.6,9.7,36.9
153,7.1,95.81,132.45,1.11,2710.7,10.2,36.6
154,7.1,99.82,134.26,1.07,2807.1,9.9,36.1
155,7,91.24,136.38,1.11,2866.3,9.6,36.6
156,7.2,91.51,142.21,1.11,2951.6,9.8,36.6
157,7.3,92.75,135.76,1.09,3099.2,9.6,36.8
158,7.4,97.82,138.22,1.06,2894.7,10.2,36.6
159,7.4,96.65,138.84,1.09,2726.3,9.8,36.6
160,7.5,95.61,135.95,1.08,2792.5,9.7,36.1
161,7.2,90.37,136.84,1.09,3060.4,10,36
162,7.3,92.72,137.14,1.09,2990.9,9.7,36.8
163,7,96.9,130.64,1.09,2986.5,10.1,36
164,7.5,97.45,150.58,1.1,2794.2,9.8,36.5
165,7.5,95.3,140.56,1.05,2756.2,9.6,36.9
166,7,95.76,138.8,1.1,2770.7,10,36.5
167,7.3,95.69,139.62,1.07,2721.4,10,36.2
168,7.1,97.89,132.57,1.1,2791.2,9.6,36.8
169,7.5,96.72,144.88,1.05,2933.6,9.9,36.3
170,7,96.17,139.79,1.07,2941.5,10,36.6
171,7,93.91,145.81,1.09,2710.4,10.1,36.3
172,7.3,92.42,133.39,1.06,2938.7,9.7,36.1
173,7.5,94.77,140.88,1.09,2796.9,10.2,36.5
174,7.1,96.5,140.34,1.05,2843.3,10,36.6
175,7,99.66,130.89,1.09,2822.6,10.1,36
176,7.4,97.3,139.14,1.07,2806.8,10.2,36.2
177,7.5,95.78,150.22,1.11,2902.8,9.7,36.1
178,7.2,97.8,147.59,1.05,2942.9,9.6,36.1
179,7.1,96.62,150.38,1.05,3013,10.2,36.7
180,7.5,98.39,137.98,1.05,3045.8,9.8,36.2
181,7.5,95.48,138.21,1.06,2872.2,9.7,36.5
182,7.5,90.72,137.62,1.11,2713.4,10,36.6
183,7,95.26,142.1,1.05,2770.2,9.6,36
184,7.4,99.22,130.58,1.05,2784.9,9.8,36.1
185,7.4,97.24,135.79,1.06,2797.3,10.1,36.6
186,7.3,90.51,140.37,1.08,2773.4,9.8,36.8
187,7.3,91.55,150.6,1.08,2932.7,10.2,36.9
188,7,90.53,133.46,1.09,2795.9,9.5,36.2
189,7.3,93.6,149.69,1.05,3069.8,10.1,36.2
190,7.3,95.17,142.84,1.05,3051.3,9.8,36.3
191,7.4,95.53,149.81,1.07,2839.7,9.6,36.2
192,7.5,93.62,146.41,1.07,2773.7,9.6,36.1
193,7.5,90.93,134.98,1.09,2880.8,10.2,36.9
194,7.4,91.41,135.15,1.11,2757.8,9.9,36.2
195,7.5,96.92,146.74,1.07,2803.4,10.2,36.2
196,7.2,95.37,138.24,1.08,2812.7,10.1,36.6
197,7.4,97.89,143.93,1.07,2887.2,9.5,36.9
198,7,94.89,150.34,1.1,2828.6,10.1,36
199,7,90.37,139.19,1.11,3028,9.5,36
200,7.1,96.91,148.35,1.09,3063.2,9.7,36.1
201,7.1,92.5,144.28,1.05,2763.9,10,36.7
202,7,96.15,141.65,1.09,2777.7,9.9,36.3
203,7,92.5,142.62,1.11,2797.9,9.6,36.4
204,7.3,97.24,136.23,1.07,3010.1,9.6,36.7
205,7.4,98.84,140.66,1.07,3024.5,9.5,36
206,7.2,90.85,133.97,1.11,2818.4,9.9,36.5
207,7.5,92.52,149.79,1.07,2718.1,9.7,36.1
208,7.1,93.94,132.88,1.05,2808,9.6,36.3
209,7.2,97.46,131.43,1.09,2827.9,10.2,36
210,7.4,92.89,140.16,1.07,3008.5,10.1,36.4
211,7.1,97.39,142.29,1.06,2794.4,9.6,36.1
212,7.2,99.93,137.2,1.07,2775.2,9.8,36.9
213,7.4,93.13,142.85,1.06,3018,10.2,36.6
214,7.1,96.19,144.67,1.11,2993.9,9.8,36.9
215,7.2,90.56,137.47,1.09,2829.9,10,36.7
216,7.1,94.98,146.71,1.07,2986.2,9.6,36
217,7,97.36,134.79,1.07,3012.6,9.9,36.3
218,7.1,90.34,145.29,1.07,2988.2,10,36.7
219,7.2,90.22,145.75,1.1,2868.6,10.2,36.1
220,7.3,91.57,146.18,1.07,2720.5,9.6,36.1
221,7.2,99.9,133.78,1.1,2712.6,9.8,36.3
222,7.3,91.5,130.66,1.11,2736.9,9.5,36.7
223,7.2,97.98,148.41,1.05,2966.8,10.1,36.4
224,7.1,91.33,139.56,1.1,2992.1,9.8,36.3
225,7.2,95.29,132.76,1.06,2819.6,9.9,36.4
226,7.5,96.36,135.23,1.05,3050.4,9.6,36.9
227,7.5,99.11,131.6,1.08,3071.6,9.9,36.7
228,7.5,91.81,148.63,1.09,3087.8,10.1,36.6
229,7.1,95.34,141.22,1.05,2881.2,10.2,36.5
230,7.3,95.7,145.13,1.11,2944.9,10.2,36.7
231,7.5,95.88,142.56,1.07,2867.7,10,36.3
232,7.3,91.52,138.75,1.06,3051.9,10.2,36.8
233,7.4,91.74,141.43,1.05,2814.9,10.1,36.1
234,7.3,93.86,143.52,1.07,3042.2,10,36.5
235,7.3,98.88,145.85,1.09,2984.2,9.6,36
236,7.2,96.65,143.1,1.1,2940.2,9.8,36.1
237,7,95.16,144.12,1.06,2948.3,10,36
238,7.5,91.57,136.41,1.06,2844.1,9.8,36
239,7,96.69,148.72,1.08,2912.2,9.6,36.5
240,7.4,90.11,144.71,1.09,2954.9,9.9,36.8
241,7,94.5,144.72,1.07,2929.7,9.7,36.1
242,7,90.58,142.96,1.08,2941.1,9.9,36.4
243,7.5,97.45,133.23,1.08,2954.8,10.1,36.5
244,7,92.43,149.96,1.09,2948.7,9.8,36.3
245,7.2,90.79,146.32,1.06,2889.6,10.1,36.3
246,7.4,97.38,143.98,1.09,2713.9,9.9,36.2
247,7.3,99.27,150.17,1.11,2935.6,9.9,36
248,7.5,95.1,130.59,1.07,2975.5,10,36.1
249,7.5,96.48,145.98,1.07,2945.5,9.9,36.2
250,7.3,92.9,140.3,1.07,2859.5,9.9,36.9
251,7.4,97.1,131.24,1.08,2816.7,10.1,36.7
252,7.4,98.33,146.9,1.07,2756.2,9.5,36.3
253,7.5,91.72,138.2,1.08,2985.4,9.8,36.2
254,7.3,99.38,135.19,1.08,2916.7,9.8,36.2
255,7,90.67,131.46,1.08,2804.1,10,36.8
256,7.3,97.67,143.87,1.07,2762.6,9.7,36.3
257,7.1,90.99,135.38,1.07,2901.7,9.7,36.1
258,7.3,98.6,147.53,1.05,3007.4,9.8,36.6
259,7.1,92.92,143.76,1.07,2845.8,9.9,36.2
260,7.5,98.43,141.82,1.05,3053.6,9.7,36.5
261,7.2,94.81,147.22,1.07,2801.4,10.1,36
262,7.1,94.2,147.59,1.1,3055.4,10.1,36.4
263,7.3,92.44,142.47,1.08,2780.8,9.5,36.4
264,7.1,94.37,145.36,1.08,2899.6,9.6,36.6
265,7.2,92.14,135.71,1.06,3107,9.9,36.7
266,7.4,97.62,134.97,1.05,2907,9.7,36.8
267,7.1,94.47,139.93,1.06,2878.5,10.1,36.6
268,7.3,98.21,139.87,1.08,3011.6,9.9,36
269,7.3,99.83,132.9,1.09,2986.8,10.2,36.5
270,7.4,95.86,138.18,1.06,2770.9,10,36.1
271,7.2,93.44,136.54,1.06,3025.3,9.6,36.2
272,7.3,91.74,149.96,1.06,2725.6,10.2,36.6
273,7.3,98.11,144.63,1.07,2877.6,9.6,36
274,7.1,93.91,150.92,1.05,2972,9.8,36.8
275,7.2,97.89,140.3,1.1,2832.7,9.5,36.9
276,7.5,92.76,131.93,1.05,2807.3,10,36.7
277,7.2,94.28,133.81,1.06,2850.4,10.2,36.5
278,7,90.33,139.91,1.09,2955,10.2,36.9
279,7.1,94.45,148.97,1.1,2916.2,10,36.3
280,7.2,93.35,140.19,1.1,2801.7,10.1,36.1
281,7.1,92.15,134.36,1.08,2738.5,10.1,36.8
282,7.5,93.37,140.14,1.05,2775.7,9.9,36.6
283,7.2,98.48,145.24,1.08,3056.2,9.5,36
284,7.1,90.79,148.39,1.05,2718.1,10.2,36.3
285,7.4,92.32,134.27,1.09,3039,10.1,36.2
286,7.4,99.49,148.64,1.05,2937.7,10.1,36.7
287,7.4,98.64,138.55,1.06,3032.2,9.5,36.7
288,7.4,96.15,131.1,1.09,3018.7,10.1,36.1
289,7.3,95.77,134.61,1.06,2851.2,9.7,36.3
290,7,95.4,149.19,1.05,2796.1,9.7,36.1
291,7,90.17,133.58,1.07,3092.6,9.5,36.6
292,7.1,96.49,144.68,1.06,2993.4,9.9,36.2
293,7.1,96.71,148.28,1.09,2816.6,9.5,36.7
294,7.5,91.51,144.99,1.05,2714.8,9.8,36.1
295,7.2,98.33,139.76,1.09,2992.6,10.1,36.9
296,7.2,91.64,133.68,1.06,2900.9,10.1,36.6
297,7.2,98.18,133.93,1.1,2738.4,9.7,36.5
298,7.5,97.48,138.29,1.07,2979.3,10.2,36.5
299,7,93.85,137.32,1.05,2943.8,9.9,36.6
300,7.5,92.99,132.53,1.07,2959.9,10.2,36.4
301,7.1,92.43,138.48,1.06,2885.4,9.9,36.5
302,7.2,91.91,142.39,1.05,2992.2,10,36.7
303,7.4,96.95,150.29,1.07,2733.8,10,36
304,7,99.44,131.39,1.1,3068.2,10.1,36.1
305,7.1,91.94,150.71,1.05,3037.3,10.2,36.7
306,7,93.76,130.23,1.09,2963,9.6,36.3
307,7.2,99.98,138.67,1.05,3064.3,9.9,36
308,7.3,96.98,143.59,1.09,3061.7,9.7,36.1
309,7.5,99.18,134.44,1.06,2786.3,9.7,36.6
310,7.1,92.94,130.64,1.09,2794.3,10.1,36.6
311,7.1,97.18,135.44,1.05,2920.8,9.8,36.1
312,7.1,98.76,133.32,1.06,2891.3,10,36.4
313,7,99.7,149.15,1.1,2839.2,10.2,36.9
314,7,98.37,139.7,1.08,3066.8,10,36.2
315,7.1,92.71,131.1,1.1,2777.6,9.7,36.1
316,7,95.61,133.59,1.11,3060.3,9.7,36.4
317,7.4,99.2,139.74,1.06,2756.9,9.6,36.3
318,7.3,91.68,137.78,1.05,3021.3,9.7,36.3
319,7,94.44,147.58,1.11,2865.6,9.7,36
320,7,92.19,130.26,1.06,2801.6,10.2,36.8
321,7.4,92.13,131.43,1.07,3043.2,10.1,36.6
322,7,98.77,141.46,1.07,2795.2,10.1,36.9
323,7.2,98.27,139.89,1.1,2916,9.5,36.5
324,7.4,97.7,147.5,1.1,3017.3,10,36.5
325,7.3,91.35,135.72,1.06,3046.7,9.7,36.1
326,7.2,92.41,139.88,1.06,2923.3,9.6,36
327,7.2,92.18,144.7,1.06,3010.6,9.6,36.2
328,7,95.22,138.24,1.1,2883.4,10.2,36.8
329,7,94.43,137.93,1.07,2798.7,10.1,36.3
330,7.1,93.54,148.98,1.05,2799,9.6,36.5
331,7.5,90.62,134.79,1.1,2867.6,10,36.1
332,7.4,91.55,135.44,1.09,3071.7,10.2,36.3
333,7.1,99.53,145.21,1.06,2735.4,9.5,36.4
334,7.2,96.47,134.69,1.09,2743.2,10,36
335,7.2,96.77,145.83,1.11,2995.5,10.1,36.3
336,7.2,95.74,145.52,1.05,2971.9,10,36.2
337,7.2,96.36,139.72,1.05,2946.9,9.9,36.7
338,7.5,97.3,139.91,1.11,2849.6,10.1,36.7
339,7.2,94.44,132.68,1.11,3076.8,9.9,36.8
340,7.3,94.21,143.19,1.09,2853.2,9.5,36.9
341,7.4,90.51,148.69,1.08,2969.8,9.8,36.6
342,7.3,97.52,130.97,1.05,3078.7,9.7,36.2
343,7.4,91.12,136.21,1.09,3014.6,10.2,36.5
344,7,99.53,136.58,1.09,2801.3,9.5,36.5
345,7.4,91.46,133.79,1.1,2894.8,10,36.9
346,7.1,90.18,147.74,1.1,2744.7,10.1,36.8
347,7.4,90.25,138.49,1.08,2983.1,9.5,36.5
348,7.2,97.44,130.43,1.11,2891.2,9.5,36.4
349,7.4,93.38,131.72,1.08,2810.1,9.7,36
350,7.3,91.36,132.16,1.05,2962.9,10.2,36.5
351,7.5,97.24,144.15,1.11,2975.3,9.8,36
352,7.3,95.95,149.87,1.1,2775.2,10,36.1
353,7,91.69,142.75,1.06,2859.2,9.7,36.5
354,7.5,95.1,142.57,1.1,2773.6,9.5,36.9
355,7.2,97.17,150.44,1.08,2915.2,9.6,36.8
356,7.4,92.12,140.93,1.06,2880.1,10.2,36.9
357,7.3,93.95,130.83,1.08,3019.3,9.5,36.2
358,7.1,99.17,146.71,1.07,2994.4,10.2,36.8
359,7.5,97.54,138.82,1.09,2867.7,10,36.3
360,7.1,96.71,137.16,1.05,2955.7,9.7,36
361,7,94.64,133.92,1.07,3096.3,9.6,36.5
362,7.3,96.57,149.4,1.07,2734.1,9.6,36.8
363,7.5,94.41,143.96,1.1,3091.3,9.6,36.6
364,7,90.85,148.32,1.11,2863.9,9.8,36.8
365,7,95.19,139.5,1.05,2803.5,9.8,36.4
366,7.4,94.23,144.81,1.07,2987.3,9.6,36.8
367,7.2,95.64,142.86,1.07,3025.6,9.5,36.5
368,7.1,91.97,138.38,1.08,2772.2,10,36
369,7,93.32,144.23,1.09,2807.2,10.1,36.3
370,7,98.68,146.38,1.05,2800.6,9.8,36.9
371,7.3,99.2,132.64,1.06,3000.6,10.2,36.1
372,7.1,95.26,143.76,1.08,2918.6,10.1,36.3
373,7.5,96.91,141.85,1.1,2950.5,9.5,36.9
374,7.1,98.95,143.65,1.08,3022,10,36.6
375,7.5,95.99,135.62,1.06,2771.1,9.6,36.1
376,7.3,96.54,130.72,1.05,3054.4,9.6,36.8
377,7.3,97.76,150.22,1.11,2739.9,10.2,36.1
378,7,99.91,147.15,1.1,3077.6,9.7,36.6
379,7.2,90.61,142.14,1.06,2722.5,9.9,36.4
380,7.1,95.42,135.39,1.1,3095.5,9.9,36.7
381,7.5,98.64,132.61,1.06,2923.9,9.6,36
382,7.1,95.96,141.21,1.09,3028.2,10.2,36.2
383,7.5,90.77,140.18,1.05,2976.3,9.6,36.9
384,7,90.8,133.42,1.11,2732.9,10.2,36.1
385,1.5,93.74,133.13,1.07,3041.9,10.2,36.5
386,1.5,91.23,146.4,1.1,3070.3,9.8,36.7
387,1.4,97.67,139.57,1.07,3093.9,10.2,36.4
388,1.1,97.44,134.31,1.07,3054.4,9.9,36.1
389,1.2,91.84,140.41,1.07,3080.5,10.2,36.8
390,1.5,91.51,130.74,1.09,3084.4,9.5,36.6
391,1.2,93.56,136.71,1.06,3216.1,10.1,36.1
392,1.2,97.98,139.35,1.09,3230.9,9.7,36.3
393,1,91.78,136.1,1.08,3215.6,9.5,36.3
394,1.1,96.95,139.94,1.06,3077.1,10.2,36.3
395,1,94.66,148.38,1.05,3085.4,10.1,36
396,1.2,97.89,142.21,1.06,3034.9,10,36.5
397,1.4,96.76,143.52,1.08,3129.6,9.6,36.4
398,1.1,99.92,134.31,1.11,3209.9,9.7,36
399,1.4,98.89,132.47,1.05,3101,10.2,36
400,1.3,93.9,146.46,1.1,3094.9,9.6,36.6
401,1,97.7,144.26,1.07,3154.8,9.6,36.6
402,1.3,90.2,138.99,1.05,3015,10,36.2
403,1.1,92.95,139.27,1.07,3126.8,9.7,36.2
404,1.2,92.88,132.78,1.06,3161.6,9.6,36.6
405,1.3,92.45,144.66,1.08,3025.5,9.5,37.3
406,1.5,98.52,149.62,1.08,3009.1,10.2,37.1
407,1,95.29,146.52,1.07,3155.4,9.8,37.8
408,1.1,98.98,142.13,1.1,3317.7,9.7,37.5
409,1.1,93.61,133.57,1.09,3214.4,10.2,37.2
410,1.3,98.6,144.14,1.06,3243.8,10.1,37.8
411,1.5,98.12,141.69,1.09,3230.9,10.1,37.8
412,1,94.32,148.72,1.11,3262.1,9.7,37.9
413,1.5,91.87,149.65,1.1,3282.7,10,37.1
414,1.2,94.78,147.34,1.08,3244.9,9.8,37.2
415,1.2,90.86,131.68,1.05,3109.7,10,37.9
416,1,95.87,141.84,1.05,3286,9.5,37.1
417,1.4,97.42,132.35,1.05,3166.3,10,37.2
418,1.2,94.89,132.19,1.06,3151.1,9.5,37.5
419,1.4,97.75,138.35,1.1,3193,10.2,37.8
420,1.5,99.29,133.81,1.06,3398.7,9.8,37.4
421,1.4,92.97,149.44,1.11,3337.6,9.9,37.6
422,1.5,97.89,134.34,1.09,3206.4,9.8,37.5
423,1,99.85,133.16,1.08,3250.2,10.1,37.4
424,1,90.9,142.42,1.1,3359.7,9.6,37.9
425,1.4,96.14,149.63,1.06,3169.2,10.1,37.2
426,1.2,95.8,140.17,1.09,3133,9.7,37.8
427,1.2,96.79,137.96,1.06,3223,9.5,37.5
428,1,95.52,144.35,1.1,3210.9,9.7,37.1
429,1,90.53,134.84,1.07,3153.6,9.7,37.3
430,1,92.56,131.98,1.08,3305.6,9.7,37.4
431,1.5,98.58,142.68,1.11,3388.2,10.1,37
432,1.5,90.38,150.3,1.06,3400.2,9.9,37.6
433,1.3,91.98,132.13,1.08,3195.9,9.6,37.6
434,1,94.47,146.97,1.07,3384.5,10,37.4
435,1.5,98.92,144.64,1.06,3279.8,9.5,37.7
436,1.2,93.17,142.12,1.09,3121.1,10,37.2
437,1.4,94.74,130.79,1.08,3344,9.5,37.8
438,1.5,97.94,142.77,1.11,3321.8,9.9,37.3
439,1.5,93.99,141.89,1.06,3312.7,10.1,37.2
440,1.3,96.91,133.81,1.09,3544.8,9.9,37.9
441,1.3,95.1,150.9,1.11,3354.2,9.8,37.3
442,1.2,98.8,143.41,1.08,3466.7,10.2,37.1
443,1.3,95.84,142.34,1.06,3723.3,9.8,37.4
444,1.2,90.68,137.32,1.07,3581.6,9.9,37
445,1.1,98.28,141.84,1.07,3375.5,10.1,37.5
446,1.4,92.58,137.65,1.09,3419.7,9.8,37.4
447,1.2,94.62,143.53,1.11,3533.3,10.2,37.8
448,1.3,90.31,150.15,1.05,3373.4,9.6,37
449,1,92.36,137.58,1.06,3489.9,9.8,37.2
450,1.2,97.71,142.65,1.1,3351.6,10.2,37.7
451,1.5,93.3,143.81,1.1,3625.8,10.1,37.8
452,1.3,90.23,145.59,1.08,3584,9.8,37.3
453,1.1,96.57,137.42,1.1,3410.5,10.1,37.4
454,1,90.86,130.7,1.05,3656.5,9.7,37.3
455,1,96.94,147.35,1.08,3566.6,10,37.2
456,1.1,98.51,137.91,1.07,3600.6,10.1,37.4
457,1.2,91.42,147.37,1.06,3358.8,10.2,37.7
458,1.5,91.97,144.81,1.1,3495.9,9.8,37.7
459,1.2,97.28,150.13,1.09,3506,10,37.2
460,1.1,90.14,150.7,1.06,3759.4,9.6,37.8
461,1,98.15,130.42,1.05,3700.8,9.8,37.9
462,1.4,92.13,144.45,1.08,3310.6,9.6,37.8
463,1.1,91.2,135.55,1.05,3348.8,10.2,37.1
