Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Japan,Habikino,47,Good,1,Good,47,Good,0,Good,23,Good
United States Of America,Hammond,61,Moderate,1,Good,18,Good,6,Good,61,Moderate
United States Of America,Hamtramck,150,Unhealthy,4,Good,9,Good,25,Good,150,Unhealthy
China,Hanchuan,163,Unhealthy,5,Good,163,Unhealthy,5,Good,157,Unhealthy
Romania,Harlau,62,Moderate,1,Good,45,Good,0,Good,62,Moderate
Denmark,Haslev,36,Good,0,Good,33,Good,0,Good,36,Good
Ukraine,Haysyn,66,Moderate,1,Good,43,Good,0,Good,66,Moderate
United States Of America,Helena,23,Good,1,Good,16,Good,3,Good,23,Good
Japan,Hikone,46,Good,1,Good,46,Good,0,Good,23,Good
Brazil,Hortolandia,154,Unhealthy,5,Good,1,Good,12,Good,154,Unhealthy
United States Of America,Huntington,63,Moderate,1,Good,23,Good,16,Good,63,Moderate
Brazil,Ibotirama,19,Good,0,Good,11,Good,1,Good,19,Good
Brazil,Ico,31,Good,0,Good,16,Good,1,Good,31,Good
Netherlands,Ijsselstein,34,Good,0,Good,34,Good,1,Good,26,Good
Thailand,Kamphaeng Phet,162,Unhealthy,1,Good,25,Good,0,Good,162,Unhealthy
Indonesia,Kanigoro,38,Good,1,Good,24,Good,0,Good,38,Good
Uganda,Kapchorwa,69,Moderate,2,Good,27,Good,0,Good,69,Moderate
India,Karad,78,Moderate,0,Good,24,Good,0,Good,78,Moderate
Russian Federation,Karasuk,32,Good,1,Good,32,Good,0,Good,25,Good
Sweden,Karlshamn,34,Good,1,Good,34,Good,0,Good,30,Good
Japan,Kashima,59,Moderate,1,Good,59,Moderate,0,Good,23,Good
Belgium,Kasterlee,31,Good,0,Good,29,Good,2,Good,31,Good
Japan,Katano,46,Good,1,Good,46,Good,0,Good,24,Good
United Republic Of Tanzania,Katumba,30,Good,1,Good,12,Good,0,Good,30,Good
Indonesia,Kedungwuni,83,Moderate,2,Good,46,Good,1,Good,83,Moderate
Israel,Kefar Yona,93,Moderate,1,Good,44,Good,7,Good,93,Moderate
Canada,Kenora,54,Moderate,1,Good,34,Good,0,Good,54,Moderate
Canada,Kentville,57,Moderate,1,Good,50,Good,0,Good,57,Moderate
Netherlands,Kerkrade,35,Good,1,Good,22,Good,3,Good,35,Good
Pakistan,Jacobabad,168,Unhealthy,1,Good,67,Moderate,1,Good,168,Unhealthy
India,Jalalpore,148,Unhealthy For Sensitive Groups,0,Good,24,Good,0,Good,148,Unhealthy For Sensitive Groups
India,Jhinjhak,277,Very Unhealthy,1,Good,47,Good,1,Good,277,Very Unhealthy
India,Jhinjhana,398,Hazardous,4,Good,90,Moderate,9,Good,361,Hazardous
Somalia,Jilib,28,Good,0,Good,20,Good,0,Good,28,Good
South Sudan,Juba,51,Moderate,1,Good,22,Good,0,Good,51,Moderate
Germany,Juterbog,30,Good,0,Good,30,Good,1,Good,30,Good
Senegal,Kaffrine,151,Unhealthy,1,Good,26,Good,2,Good,151,Unhealthy
Greece,Kalimnos,47,Good,1,Good,47,Good,0,Good,19,Good
Republic Of North Macedonia,Kamenjane,60,Moderate,1,Good,43,Good,0,Good,60,Moderate
Japan,Kamo,41,Good,1,Good,41,Good,0,Good,30,Good
Germany,Abensberg,54,Moderate,1,Good,38,Good,3,Good,54,Moderate
Côte D'Ivoire,Aboisso,55,Moderate,2,Good,23,Good,1,Good,55,Moderate
France,Acheres,67,Moderate,1,Good,22,Good,5,Good,67,Moderate
Ethiopia,Addis Zemen,93,Moderate,1,Good,27,Good,0,Good,93,Moderate
Australia,Adelaide,44,Good,0,Good,24,Good,1,Good,44,Good
Romania,Adjud,36,Good,1,Good,36,Good,0,Good,16,Good
Chad,Adre,34,Good,2,Good,19,Good,1,Good,34,Good
Italy,Agropoli,48,Good,1,Good,48,Good,0,Good,48,Good
Azerbaijan,Agstafa,35,Good,1,Good,35,Good,0,Good,18,Good
India,Ahwa,146,Unhealthy For Sensitive Groups,0,Good,24,Good,0,Good,146,Unhealthy For Sensitive Groups
Uzbekistan,Aktash,93,Moderate,1,Good,45,Good,0,Good,93,Moderate
United States Of America,Albertville,69,Moderate,2,Good,35,Good,4,Good,69,Moderate
Mexico,Aldama,94,Moderate,1,Good,18,Good,1,Good,94,Moderate
Russian Federation,Aleksandrovsk Sakhalinskiy,43,Good,1,Good,24,Good,0,Good,43,Good
Ecuador,Alfredo Baquerizo Moreno,54,Moderate,1,Good,12,Good,6,Good,54,Moderate
Canada,Ingersoll,34,Good,1,Good,31,Good,3,Good,34,Good
Brazil,Ipora,46,Good,1,Good,12,Good,1,Good,46,Good
United Kingdom Of Great Britain And Northern Ireland,Ipswich,31,Good,0,Good,31,Good,2,Good,12,Good
Brazil,Itaberai,36,Good,1,Good,11,Good,1,Good,36,Good
Japan,Iwanuma,43,Good,1,Good,41,Good,1,Good,43,Good
India,Jalor,198,Unhealthy,1,Good,34,Good,0,Good,198,Unhealthy
Poland,Jaworzno,85,Moderate,1,Good,41,Good,2,Good,85,Moderate
India,Jhansi,218,Very Unhealthy,1,Good,48,Good,0,Good,218,Very Unhealthy
Guatemala,Jocotenango,126,Unhealthy For Sensitive Groups,3,Good,2,Good,11,Good,126,Unhealthy For Sensitive Groups
Brazil,Joinville,105,Unhealthy For Sensitive Groups,4,Good,3,Good,8,Good,105,Unhealthy For Sensitive Groups
Spain,Jumilla,32,Good,1,Good,32,Good,0,Good,20,Good
Uganda,Kaberamaido,68,Moderate,2,Good,21,Good,0,Good,68,Moderate
India,Kadur,30,Good,0,Good,21,Good,0,Good,30,Good
United Republic Of Tanzania,Kahama,15,Good,1,Good,15,Good,0,Good,15,Good
Thailand,Kalasin,43,Good,1,Good,28,Good,0,Good,43,Good
Bangladesh,Kalia,158,Unhealthy,4,Good,93,Moderate,2,Good,158,Unhealthy
India,Kalpi,202,Very Unhealthy,2,Good,94,Moderate,0,Good,202,Very Unhealthy
Ukraine,Kalush,54,Moderate,1,Good,31,Good,2,Good,54,Moderate
Republic Of North Macedonia,Gostivar,52,Moderate,1,Good,41,Good,0,Good,52,Moderate
Brazil,Gravatai,64,Moderate,1,Good,13,Good,4,Good,64,Moderate
United States Of America,Greenfield,50,Good,1,Good,29,Good,9,Good,50,Good
Brazil,Guararema,159,Unhealthy,6,Good,1,Good,16,Good,159,Unhealthy
United States Of America,Guttenberg,116,Unhealthy For Sensitive Groups,3,Good,11,Good,31,Good,116,Unhealthy For Sensitive Groups
Zimbabwe,Gwanda,53,Moderate,2,Good,16,Good,1,Good,53,Moderate
Japan,Hagi,38,Good,1,Good,38,Good,0,Good,18,Good
China,Hailin,62,Moderate,1,Good,42,Good,0,Good,62,Moderate
Japan,Hakui,56,Moderate,1,Good,56,Moderate,1,Good,30,Good
India,Haldwani,139,Unhealthy For Sensitive Groups,2,Good,124,Unhealthy For Sensitive Groups,0,Good,139,Unhealthy For Sensitive Groups
India,Hamirpur,195,Unhealthy,2,Good,104,Unhealthy For Sensitive Groups,1,Good,195,Unhealthy
United States Of America,Hawaiian Gardens,97,Moderate,3,Good,6,Good,34,Good,97,Moderate
United States Of America,Henderson,52,Moderate,1,Good,35,Good,6,Good,52,Moderate
Belgium,Herk De Stad,48,Good,1,Good,29,Good,3,Good,48,Good
Uruguay,Fray Bentos,38,Good,1,Good,14,Good,1,Good,38,Good
Germany,Freising,51,Moderate,1,Good,43,Good,2,Good,51,Moderate
Russian Federation,Fryanovo,81,Moderate,2,Good,11,Good,26,Good,81,Moderate
Nigeria,Funtua,65,Moderate,2,Good,22,Good,1,Good,65,Moderate
China,Fuyang,149,Unhealthy For Sensitive Groups,3,Good,149,Unhealthy For Sensitive Groups,3,Good,132,Unhealthy For Sensitive Groups
Sri Lanka,Galle,41,Good,0,Good,21,Good,0,Good,41,Good
Sri Lanka,Gampola,54,Moderate,0,Good,18,Good,1,Good,54,Moderate
Afghanistan,Gardez,82,Moderate,0,Good,40,Good,0,Good,82,Moderate
Nigeria,Gashua,94,Moderate,2,Good,35,Good,1,Good,94,Moderate
India,Gaurela,178,Unhealthy,1,Good,52,Moderate,0,Good,178,Unhealthy
Italy,Gavardo,58,Moderate,2,Good,27,Good,6,Good,58,Moderate
India,Ghatampur,204,Very Unhealthy,2,Good,121,Unhealthy For Sensitive Groups,1,Good,204,Very Unhealthy
Germany,Gifhorn,35,Good,0,Good,35,Good,1,Good,28,Good
Germany,Gilching,48,Good,1,Good,42,Good,2,Good,48,Good
Eritrea,Ginda,94,Moderate,1,Good,33,Good,0,Good,94,Moderate
United States Of America,Holladay,48,Good,1,Good,15,Good,11,Good,48,Good
United States Of America,Hope Mills,55,Moderate,2,Good,35,Good,5,Good,55,Moderate
United States Of America,Hopkinsville,66,Moderate,2,Good,43,Good,6,Good,66,Moderate
Belarus,Horki,32,Good,1,Good,32,Good,0,Good,12,Good
China,Hsilo,61,Moderate,2,Good,56,Moderate,7,Good,61,Moderate
Brazil,Iacu,12,Good,0,Good,12,Good,0,Good,10,Good
Russian Federation,Iglino,41,Good,1,Good,31,Good,2,Good,41,Good
Sri Lanka,Colombo,56,Moderate,0,Good,27,Good,0,Good,56,Moderate
Indonesia,Comal,102,Unhealthy For Sensitive Groups,2,Good,55,Moderate,1,Good,102,Unhealthy For Sensitive Groups
United States Of America,Compton,117,Unhealthy For Sensitive Groups,4,Good,8,Good,35,Good,117,Unhealthy For Sensitive Groups
Brazil,Correia Pinto,18,Good,0,Good,18,Good,0,Good,14,Good
United Kingdom Of Great Britain And Northern Ireland,Coventry,30,Good,0,Good,30,Good,1,Good,25,Good
United States Of America,Cranston,71,Moderate,1,Good,44,Good,5,Good,71,Moderate
Brazil,Cuiaba,59,Moderate,1,Good,7,Good,0,Good,59,Moderate
France,Cusset,39,Good,1,Good,29,Good,1,Good,39,Good
China,Daan,163,Unhealthy,8,Good,39,Good,26,Good,163,Unhealthy
Germany,Gladenbach,32,Good,1,Good,32,Good,3,Good,32,Good
Indonesia,Gondanglegi,50,Good,1,Good,29,Good,0,Good,50,Good
India,Gorakhpur,296,Very Unhealthy,3,Good,161,Unhealthy,1,Good,296,Very Unhealthy
Russian Federation,Gorokhovets,30,Good,1,Good,30,Good,0,Good,12,Good
Germany,Goslar,38,Good,1,Good,38,Good,1,Good,25,Good
United States Of America,Grand Terrace,79,Moderate,2,Good,9,Good,20,Good,79,Moderate
United Kingdom Of Great Britain And Northern Ireland,Grantham,29,Good,0,Good,29,Good,1,Good,28,Good
Brazil,Guanambi,13,Good,0,Good,11,Good,0,Good,13,Good
China,Guangyuan,158,Unhealthy,4,Good,157,Unhealthy,1,Good,158,Unhealthy
Venezuela (Bolivarian Republic Of),Guatire,51,Moderate,1,Good,19,Good,3,Good,51,Moderate
France,Franconville,50,Good,1,Good,19,Good,5,Good,50,Good
United States Of America,Franklin Lakes,52,Moderate,1,Good,44,Good,4,Good,52,Moderate
Switzerland,Frauenfeld,41,Good,1,Good,27,Good,2,Good,41,Good
United States Of America,Fredonia,35,Good,1,Good,32,Good,4,Good,35,Good
Germany,Freiburg,32,Good,1,Good,30,Good,1,Good,32,Good
Mexico,Frontera,106,Unhealthy For Sensitive Groups,3,Good,20,Good,4,Good,106,Unhealthy For Sensitive Groups
China,Fuling,151,Unhealthy,6,Good,110,Unhealthy For Sensitive Groups,5,Good,151,Unhealthy
Lithuania,Garliava,46,Good,1,Good,33,Good,0,Good,46,Good
Indonesia,Garut,69,Moderate,1,Good,33,Good,1,Good,69,Moderate
Turkey,Genc,81,Moderate,1,Good,44,Good,0,Good,81,Moderate
Italy,Giaveno,39,Good,1,Good,30,Good,1,Good,39,Good
France,Gif Sur Yvette,46,Good,1,Good,20,Good,4,Good,46,Good
China,Erhlin,134,Unhealthy For Sensitive Groups,3,Good,134,Unhealthy For Sensitive Groups,11,Good,121,Unhealthy For Sensitive Groups
Germany,Erkrath,33,Good,1,Good,33,Good,2,Good,30,Good
United States Of America,Escanaba,32,Good,1,Good,32,Good,1,Good,29,Good
Iran (Islamic Republic Of),Esfarayen,95,Moderate,1,Good,40,Good,0,Good,95,Moderate
Belgium,Esneux,43,Good,1,Good,26,Good,4,Good,43,Good
United States Of America,Evans,70,Moderate,2,Good,8,Good,13,Good,70,Moderate
United States Of America,Evansville,63,Moderate,2,Good,28,Good,14,Good,63,Moderate
United States Of America,Fair Lawn,56,Moderate,1,Good,43,Good,5,Good,56,Moderate
United States Of America,Fairland,54,Moderate,1,Good,43,Good,5,Good,54,Moderate
Portugal,Fatima,35,Good,0,Good,27,Good,1,Good,35,Good
Belgium,Florennes,41,Good,1,Good,23,Good,4,Good,41,Good
Guatemala,Flores Costa Cuca,100,Unhealthy For Sensitive Groups,3,Good,13,Good,11,Good,100,Unhealthy For Sensitive Groups
Cambodia,Kampong Chhnang,21,Good,0,Good,16,Good,0,Good,21,Good
Russian Federation,Kamyshlov,32,Good,1,Good,32,Good,0,Good,23,Good
Finland,Kankaanpaa,35,Good,1,Good,35,Good,0,Good,14,Good
Russian Federation,Karabudakhkent,69,Moderate,1,Good,42,Good,0,Good,69,Moderate
Indonesia,Karangasem,44,Good,1,Good,26,Good,0,Good,44,Good
Indonesia,Karawang,124,Unhealthy For Sensitive Groups,3,Good,124,Unhealthy For Sensitive Groups,1,Good,91,Moderate
Czechia,Karlovy Vary,68,Moderate,1,Good,33,Good,4,Good,68,Moderate
Turkey,Kars,40,Good,0,Good,40,Good,0,Good,31,Good
Greece,Kavala,84,Moderate,1,Good,40,Good,0,Good,84,Moderate
Bulgaria,Kavarna,44,Good,1,Good,44,Good,0,Good,41,Good
Russian Federation,Kazanskaya,36,Good,1,Good,36,Good,0,Good,17,Good
Kyrgyzstan,Kemin,78,Moderate,0,Good,43,Good,0,Good,78,Moderate
Finland,Kempele,31,Good,1,Good,31,Good,1,Good,11,Good
Slovakia,Kezmarok,60,Moderate,1,Good,40,Good,0,Good,60,Moderate
Ireland,Drogheda,58,Moderate,1,Good,24,Good,4,Good,58,Moderate
Russian Federation,Dubovka,38,Good,1,Good,38,Good,0,Good,9,Good
Turkey,Duzce,54,Moderate,1,Good,40,Good,0,Good,54,Moderate
Italy,Eboli,45,Good,1,Good,45,Good,1,Good,42,Good
France,Echirolles,40,Good,3,Good,1,Good,25,Good,40,Good
Nigeria,Eha Amufu,96,Moderate,3,Good,20,Good,3,Good,96,Moderate
Colombia,El Copey,69,Moderate,2,Good,8,Good,4,Good,69,Moderate
Brazil,Elesbao Veloso,34,Good,1,Good,9,Good,1,Good,34,Good
Malaysia,Kuala Krai,64,Moderate,1,Good,27,Good,0,Good,64,Moderate
Malaysia,Kulai,151,Unhealthy,1,Good,61,Moderate,3,Good,151,Unhealthy
Pakistan,Kundian,174,Unhealthy,3,Good,139,Unhealthy For Sensitive Groups,0,Good,174,Unhealthy
Australia,Kurri Kurri,52,Moderate,1,Good,2,Good,16,Good,52,Moderate
Japan,Kurume,33,Good,1,Good,33,Good,1,Good,14,Good
Dominican Republic,La Romana,125,Unhealthy For Sensitive Groups,1,Good,18,Good,2,Good,125,Unhealthy For Sensitive Groups
Bangladesh,Khulna,53,Moderate,1,Good,29,Good,1,Good,53,Moderate
United Kingdom Of Great Britain And Northern Ireland,Kingswood,32,Good,1,Good,23,Good,6,Good,32,Good
India,Kishanganj,62,Moderate,2,Good,42,Good,1,Good,62,Moderate
Denmark,Kolding,38,Good,1,Good,38,Good,1,Good,38,Good
Bulgaria,Kostinbrod,83,Moderate,1,Good,46,Good,1,Good,83,Moderate
Russian Federation,Kovrov,52,Moderate,1,Good,28,Good,4,Good,52,Moderate
Romania,Falticeni,71,Moderate,1,Good,38,Good,1,Good,71,Moderate
Italy,Favara,52,Moderate,1,Good,34,Good,4,Good,52,Moderate
Italy,Figline Valdarno,36,Good,1,Good,36,Good,2,Good,19,Good
United States Of America,Flagstaff,39,Good,1,Good,25,Good,2,Good,39,Good
Russian Federation,Progress,35,Good,1,Good,35,Good,0,Good,24,Good
India,Pulgaon,154,Unhealthy,0,Good,29,Good,0,Good,154,Unhealthy
Philippines,Pulilan,63,Moderate,1,Good,23,Good,1,Good,63,Moderate
Netherlands,Putten,35,Good,0,Good,34,Good,1,Good,35,Good
Iran (Islamic Republic Of),Qeshm,150,Unhealthy,1,Good,75,Moderate,0,Good,150,Unhealthy
China,Qixia,132,Unhealthy For Sensitive Groups,3,Good,132,Unhealthy For Sensitive Groups,1,Good,96,Moderate
Viet Nam,Qui Nhon,47,Good,1,Good,23,Good,0,Good,47,Good
Germany,Radebeul,50,Good,1,Good,27,Good,4,Good,50,Good
United States Of America,Rancho Santa Margarita,68,Moderate,2,Good,13,Good,18,Good,68,Moderate
Brazil,Raposos,111,Unhealthy For Sensitive Groups,3,Good,1,Good,9,Good,111,Unhealthy For Sensitive Groups
Germany,Raunheim,53,Moderate,1,Good,27,Good,3,Good,53,Moderate
Italy,Ravanusa,57,Moderate,2,Good,28,Good,6,Good,57,Moderate
India,Rayagada,145,Unhealthy For Sensitive Groups,1,Good,30,Good,1,Good,145,Unhealthy For Sensitive Groups
Spain,Reinosa,34,Good,1,Good,34,Good,1,Good,15,Good
India,Rewa,190,Unhealthy,1,Good,51,Moderate,0,Good,190,Unhealthy
South Africa,Richards Bay,61,Moderate,1,Good,24,Good,1,Good,61,Moderate
Portugal,Rio Tinto,28,Good,0,Good,28,Good,2,Good,21,Good
Colombia,Rionegro,71,Moderate,2,Good,7,Good,6,Good,71,Moderate
United Republic Of Tanzania,Rulenge,57,Moderate,2,Good,17,Good,0,Good,57,Moderate
United States Of America,Rutland,54,Moderate,2,Good,9,Good,5,Good,54,Moderate
Colombia,Salamina,65,Moderate,2,Good,6,Good,5,Good,65,Moderate
Latvia,Salaspils,55,Moderate,1,Good,31,Good,1,Good,55,Moderate
Thailand,Sam Phran,55,Moderate,1,Good,24,Good,0,Good,55,Moderate
Mexico,San Juan De Las Huertas,76,Moderate,2,Good,10,Good,8,Good,76,Moderate
Poland,Sanok,77,Moderate,1,Good,39,Good,0,Good,77,Moderate
Brazil,Sao Joao Do Piaui,28,Good,0,Good,14,Good,0,Good,28,Good
Brazil,Sape,46,Good,1,Good,16,Good,3,Good,46,Good
India,Satwas,156,Unhealthy,1,Good,36,Good,0,Good,156,Unhealthy
Germany,Schwalmstadt,48,Good,1,Good,25,Good,3,Good,48,Good
Indonesia,Serang,195,Unhealthy,4,Good,195,Unhealthy,3,Good,161,Unhealthy
Iran (Islamic Republic Of),Shahriyar,166,Unhealthy,2,Good,166,Unhealthy,5,Good,150,Unhealthy
China,Shangrao,142,Unhealthy For Sensitive Groups,4,Good,142,Unhealthy For Sensitive Groups,2,Good,100,Unhealthy For Sensitive Groups
Russian Federation,Ordzhonikidzevskaya,41,Good,1,Good,37,Good,1,Good,41,Good
Republic Of Moldova,Orhei,44,Good,1,Good,36,Good,0,Good,44,Good
Brazil,Ortigueira,33,Good,1,Good,12,Good,1,Good,33,Good
Poland,Ostrow Wielkopolski,60,Moderate,1,Good,24,Good,3,Good,60,Moderate
United States Of America,Ottumwa,51,Moderate,1,Good,36,Good,3,Good,51,Moderate
Haiti,Ouanaminthe,107,Unhealthy For Sensitive Groups,3,Good,6,Good,12,Good,107,Unhealthy For Sensitive Groups
Nigeria,Owerri,141,Unhealthy For Sensitive Groups,8,Good,16,Good,7,Good,141,Unhealthy For Sensitive Groups
Colombia,Pailitas,53,Moderate,1,Good,6,Good,1,Good,53,Moderate
Italy,Palombara Sabina,44,Good,1,Good,44,Good,3,Good,37,Good
Germany,Papenburg,36,Good,0,Good,36,Good,0,Good,34,Good
India,Pappinisseri,72,Moderate,0,Good,23,Good,0,Good,72,Moderate
Poland,Parczew,53,Moderate,1,Good,37,Good,1,Good,53,Moderate
United States Of America,Parkersburg,36,Good,2,Good,36,Good,3,Good,28,Good
Germany,Pasewalk,34,Good,0,Good,34,Good,1,Good,32,Good
India,Patharia,184,Unhealthy,1,Good,39,Good,0,Good,184,Unhealthy
India,Patur,140,Unhealthy For Sensitive Groups,1,Good,33,Good,0,Good,140,Unhealthy For Sensitive Groups
Indonesia,Perbaungan,76,Moderate,2,Good,41,Good,0,Good,76,Moderate
France,Perigueux,36,Good,1,Good,36,Good,1,Good,25,Good
Bulgaria,Petric,59,Moderate,1,Good,45,Good,0,Good,59,Moderate
Thailand,Phayakkhaphum Phisai,43,Good,0,Good,28,Good,0,Good,43,Good
Ukraine,Pidhorodne,39,Good,1,Good,39,Good,2,Good,13,Good
India,Pilibhit,165,Unhealthy,3,Good,165,Unhealthy,1,Good,156,Unhealthy
United States Of America,Pinole,56,Moderate,1,Good,13,Good,18,Good,56,Moderate
Spain,Pinos Puente,24,Good,1,Good,24,Good,2,Good,16,Good
Bulgaria,Plovdiv,46,Good,1,Good,41,Good,1,Good,46,Good
Philippines,Polomolok,41,Good,1,Good,17,Good,0,Good,41,Good
United States Of America,Pompano Beach,78,Moderate,2,Good,12,Good,12,Good,78,Moderate
Australia,Port Augusta,25,Good,0,Good,23,Good,1,Good,25,Good
Japan,Shizukuishi,28,Good,1,Good,28,Good,1,Good,16,Good
Ukraine,Shostka,36,Good,1,Good,36,Good,0,Good,13,Good
India,Shupiyan,107,Unhealthy For Sensitive Groups,1,Good,48,Good,0,Good,107,Unhealthy For Sensitive Groups
Kazakhstan,Shymkent,74,Moderate,1,Good,46,Good,0,Good,74,Moderate
Germany,Siegen,49,Good,1,Good,26,Good,3,Good,49,Good
Honduras,Siguatepeque,71,Moderate,1,Good,5,Good,3,Good,71,Moderate
India,Sindi,171,Unhealthy,1,Good,30,Good,0,Good,171,Unhealthy
India,Singanallur,56,Moderate,0,Good,23,Good,0,Good,56,Moderate
Poland,Slawno,32,Good,0,Good,32,Good,0,Good,27,Good
Brazil,Sobradinho,19,Good,1,Good,12,Good,1,Good,19,Good
Viet Nam,Soc Trang,58,Moderate,1,Good,28,Good,1,Good,58,Moderate
Thailand,Nong Khai,49,Good,0,Good,26,Good,0,Good,49,Good
United States Of America,North Charleston,53,Moderate,1,Good,31,Good,7,Good,53,Moderate
Brazil,Nova Olimpia,25,Good,1,Good,3,Good,1,Good,25,Good
Russian Federation,Novaya Lyalya,51,Moderate,1,Good,30,Good,0,Good,51,Moderate
Russian Federation,Novoshakhtinsk,38,Good,1,Good,38,Good,1,Good,12,Good
South Africa,Nylstroom,73,Moderate,3,Good,18,Good,2,Good,73,Moderate
Germany,Offenbach,52,Moderate,1,Good,27,Good,3,Good,52,Moderate
United Kingdom Of Great Britain And Northern Ireland,Oldham,30,Good,1,Good,30,Good,3,Good,29,Good
Italy,Soliera,101,Unhealthy For Sensitive Groups,2,Good,27,Good,9,Good,101,Unhealthy For Sensitive Groups
Denmark,Solrod,36,Good,1,Good,36,Good,0,Good,26,Good
Italy,Sora,43,Good,1,Good,42,Good,1,Good,43,Good
Brazil,Soure,52,Moderate,1,Good,16,Good,0,Good,52,Moderate
United States Of America,South Daytona,61,Moderate,1,Good,24,Good,8,Good,61,Moderate
United States Of America,South Euclid,45,Good,1,Good,45,Good,4,Good,34,Good
Russian Federation,Sovetsk,34,Good,1,Good,33,Good,0,Good,34,Good
South Africa,Stilfontein,175,Unhealthy,10,Good,17,Good,13,Good,175,Unhealthy
China,Suihua,100,Unhealthy For Sensitive Groups,2,Good,72,Moderate,1,Good,100,Unhealthy For Sensitive Groups
India,Sulurpeta,70,Moderate,1,Good,28,Good,0,Good,70,Moderate
Angola,Sumbe,58,Moderate,2,Good,14,Good,1,Good,58,Moderate
Norway,Jessheim,35,Good,0,Good,35,Good,1,Good,24,Good
India,Jetalsar,151,Unhealthy,0,Good,30,Good,0,Good,151,Unhealthy
China,Jiupu,98,Moderate,4,Good,31,Good,11,Good,98,Moderate
Indonesia,Jogonalan,59,Moderate,1,Good,28,Good,1,Good,59,Moderate
United States Of America,Joppatowne,57,Moderate,1,Good,44,Good,4,Good,57,Moderate
India,Julana,500,Hazardous,1,Good,41,Good,1,Good,490,Hazardous
Guatemala,Jutiapa,82,Moderate,3,Good,5,Good,10,Good,82,Moderate
Nepal,Kalaiya,229,Very Unhealthy,3,Good,132,Unhealthy For Sensitive Groups,0,Good,229,Very Unhealthy
India,Kalamb,123,Unhealthy For Sensitive Groups,1,Good,26,Good,0,Good,123,Unhealthy For Sensitive Groups
Ukraine,Kalanchak,41,Good,1,Good,40,Good,0,Good,41,Good
India,Kalugumalai,52,Moderate,1,Good,29,Good,0,Good,52,Moderate
Japan,Kamogawa,44,Good,1,Good,44,Good,1,Good,44,Good
India,Imphal,60,Moderate,1,Good,41,Good,0,Good,60,Moderate
United Republic Of Tanzania,Inyonga,36,Good,1,Good,17,Good,0,Good,36,Good
Turkey,Iskenderun,49,Good,1,Good,40,Good,0,Good,49,Good
Russian Federation,Istra,47,Good,1,Good,30,Good,3,Good,47,Good
Colombia,Itagui,120,Unhealthy For Sensitive Groups,4,Good,1,Good,8,Good,120,Unhealthy For Sensitive Groups
Brazil,Itajuba,54,Moderate,1,Good,8,Good,4,Good,54,Moderate
Brazil,Itaperuna,57,Moderate,2,Good,0,Good,5,Good,57,Moderate
Japan,Itsukaichi,42,Good,1,Good,34,Good,3,Good,42,Good
Brazil,Ivoti,55,Moderate,1,Good,13,Good,4,Good,55,Moderate
India,Jalalabad,500,Hazardous,1,Good,48,Good,1,Good,500,Hazardous
United Kingdom Of Great Britain And Northern Ireland,Jarrow,34,Good,0,Good,30,Good,1,Good,34,Good
India,Jasdan,155,Unhealthy,0,Good,33,Good,0,Good,155,Unhealthy
Ethiopia,Hirna,71,Moderate,1,Good,19,Good,0,Good,71,Moderate
Viet Nam,Ho Chi Minh City,86,Moderate,2,Good,35,Good,2,Good,86,Moderate
Ukraine,Horodyshche,51,Moderate,1,Good,43,Good,0,Good,51,Moderate
China,Huainan,164,Unhealthy,4,Good,164,Unhealthy,8,Good,141,Unhealthy For Sensitive Groups
Germany,Hude,33,Good,1,Good,33,Good,2,Good,26,Good
France,Hyeres,62,Moderate,1,Good,29,Good,8,Good,62,Moderate
Ecuador,Ibarra,30,Good,1,Good,8,Good,2,Good,30,Good
Brazil,Iguaba Grande,61,Moderate,2,Good,33,Good,3,Good,61,Moderate
Russian Federation,Guryevsk,40,Good,1,Good,40,Good,1,Good,25,Good
Belgium,Haaltert,40,Good,1,Good,24,Good,4,Good,40,Good
United States Of America,Hamilton,45,Good,1,Good,31,Good,8,Good,45,Good
United States Of America,Hays,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
United States Of America,Hercules,47,Good,1,Good,25,Good,8,Good,47,Good
Pakistan,Sarhari,165,Unhealthy,1,Good,41,Good,0,Good,165,Unhealthy
Netherlands,Schagen,38,Good,1,Good,38,Good,2,Good,34,Good
Russian Federation,Sertolovo,34,Good,1,Good,34,Good,1,Good,21,Good
Ethiopia,Shakiso,35,Good,0,Good,16,Good,0,Good,35,Good
Japan,Komae,52,Moderate,1,Good,52,Moderate,4,Good,50,Good
Bosnia And Herzegovina,Konjic,36,Good,1,Good,36,Good,0,Good,36,Good
Switzerland,Konstanz,102,Unhealthy For Sensitive Groups,1,Good,31,Good,2,Good,102,Unhealthy For Sensitive Groups
Ethiopia,Korem,156,Unhealthy,1,Good,28,Good,0,Good,156,Unhealthy
Thailand,Kranuan,42,Good,0,Good,28,Good,0,Good,42,Good
Republic Of North Macedonia,Kratovo,62,Moderate,1,Good,37,Good,0,Good,62,Moderate
Angola,Kuito,76,Moderate,2,Good,20,Good,1,Good,76,Moderate
Pakistan,Kulachi,177,Unhealthy,2,Good,100,Unhealthy For Sensitive Groups,0,Good,177,Unhealthy
Russian Federation,Kuleshovka,37,Good,1,Good,37,Good,2,Good,17,Good
